Time,Source IP,Destination IP,Protocol,Packet Size
09:14:05,14.102.231.202,192.168.1.32,TCP,1304
09:14:05,14.102.231.202,192.168.1.32,TCP,1304
09:14:05,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,192.168.1.32,14.102.231.202,TCP,66
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,192.168.1.32,14.102.231.202,TCP,66
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,192.168.1.32,14.102.231.202,TCP,66
09:14:06,192.168.1.32,14.102.231.202,TCP,66
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1276
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,192.168.1.32,14.102.231.202,TCP,66
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,186
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
09:14:06,14.102.231.202,192.168.1.32,TCP,1304
